model,target,MAE,RMSE,R2
Linear Regression,R_total,0.013408294903327695,0.0183686788135678,0.6907844012631981
Random Forest,R_total,8.069586665548911e-16,9.00315534478996e-16,1.0
Linear Regression,T_j,2.356910656265854,3.2836626169190533,0.9749116699198971
Random Forest,T_j,0.0942535534955891,0.2814717275892786,0.9998156580170466
