TDP,V_air,k_tim,Re,Nu,h_conv,R_cond,R_conv,R_tim,R_hs,R_total,T_j
30.0,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,38.455508120259765
30.0,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,36.86211927249029
30.0,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,36.22048840058953
30.0,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,35.840428274253284
30.0,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,35.57861488820884
30.0,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,35.382746411242024
30.0,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,35.228340219590095
30.0,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,35.10212749463771
30.0,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,34.99617815425708
30.0,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,34.905407587358695
30.0,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,34.82637771770479
30.0,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,34.75666495859306
30.0,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,34.69450257536725
30.0,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,34.638566590858005
30.0,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,34.58784158967954
30.0,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,34.54153332067976
30.0,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,34.49900990327901
30.0,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,34.4597611616135
30.0,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,34.42336981086711
30.0,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,34.389490605719935
41.578947368421055,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,43.6488621315881
41.578947368421055,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,41.440481096960234
41.578947368421055,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,40.5512032218697
41.578947368421055,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,40.024453222210695
41.578947368421055,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,39.6615890555877
41.578947368421055,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,39.39012221908982
41.578947368421055,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,39.176120655221354
41.578947368421055,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,39.00119424695403
41.578947368421055,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,38.85435217870719
41.578947368421055,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,38.728547357918195
41.578947368421055,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,38.61901473155576
41.578947368421055,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,38.52239529348863
41.578947368421055,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,38.43624041147391
41.578947368421055,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,38.35871509961022
41.578947368421055,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,38.28841202780147
41.578947368421055,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,38.22423039181932
41.578947368421055,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,38.16529442735161
41.578947368421055,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,38.11089704855205
41.578947368421055,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,38.06045991330704
41.578947368421055,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,38.0135045237171
53.15789473684211,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,48.842216142916435
53.15789473684211,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,46.01884292143017
53.15789473684211,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,44.88191804314987
53.15789473684211,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,44.20847817016811
53.15789473684211,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,43.74456322296655
53.15789473684211,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,43.397498026937626
53.15789473684211,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,43.12390109085263
53.15789473684211,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,42.900260999270344
53.15789473684211,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,42.712526203157296
53.15789473684211,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,42.551687128477695
53.15789473684211,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,42.41165174540673
53.15789473684211,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,42.28812562838419
53.15789473684211,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,42.17797824758057
53.15789473684211,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,42.07886360836244
53.15789473684211,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,41.9889824659234
53.15789473684211,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,41.906927462958876
53.15789473684211,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,41.83157895142422
53.15789473684211,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,41.76203293549059
53.15789473684211,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,41.697550015746984
53.15789473684211,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,41.63751844171427
64.73684210526315,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,54.03557015424476
64.73684210526315,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,50.5972047459001
64.73684210526315,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,49.212632864430034
64.73684210526315,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,48.39250311812551
64.73684210526315,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,47.8275373903454
64.73684210526315,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,47.40487383478542
64.73684210526315,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,47.071681526483886
64.73684210526315,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,46.799327751586645
64.73684210526315,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,46.57070022760739
64.73684210526315,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,46.37482689903719
64.73684210526315,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,46.20428875925769
64.73684210526315,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,46.05385596327976
64.73684210526315,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,45.91971608368722
64.73684210526315,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,45.79901211711464
64.73684210526315,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,45.689552904045314
64.73684210526315,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,45.58962453409843
64.73684210526315,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,45.497863475496814
64.73684210526315,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,45.41316882242913
64.73684210526315,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,45.33464011818691
64.73684210526315,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,45.26153235971144
76.31578947368422,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,59.2289241655731
76.31578947368422,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,55.17556657037005
76.31578947368422,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,53.5433476857102
76.31578947368422,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,52.57652806608293
76.31578947368422,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,51.91051155772425
76.31578947368422,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,51.41224964263322
76.31578947368422,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,51.01946196211515
76.31578947368422,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,50.69839450390296
76.31578947368422,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,50.4288742520575
76.31578947368422,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,50.197966669596696
76.31578947368422,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,49.99692577310867
76.31578947368422,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,49.81958629817534
76.31578947368422,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,49.661453919793885
76.31578947368422,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,49.51916062586687
76.31578947368422,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,49.39012334216725
76.31578947368422,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,49.27232160523799
76.31578947368422,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,49.16414799956942
76.31578947368422,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,49.064304709367676
76.31578947368422,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,48.97173022062685
76.31578947368422,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,48.88554627770861
87.89473684210526,0.5,1.0,36.70517111087122,1.6255098564016421,18.475831882541605,0.006336533282641068,0.1998523617313089,0.04232804232804233,0.20618889501394996,0.4485169373419923,64.42227817690141
87.89473684210526,1.263157894736842,1.0,92.72885333272727,2.2138701910439624,25.163239274380565,0.006336533282641068,0.14673940013899303,0.04232804232804233,0.15307593342163409,0.39540397574967645,59.75392839483998
87.89473684210526,2.026315789473684,1.0,148.75253555458335,2.591604042012122,29.456628883399542,0.006336533282641068,0.12535170440896753,0.04232804232804233,0.1316882376916086,0.3740162800196509,57.87406250699037
87.89473684210526,2.7894736842105265,1.0,204.77621777643944,2.88297158533409,32.76836379859879,0.006336533282641068,0.1126830335310928,0.04232804232804233,0.11901956681373387,0.3613476091417762,56.760553014040326
87.89473684210526,3.5526315789473686,1.0,260.79989999829553,3.1249974195571415,35.51927214081933,0.006336533282641068,0.10395592066294466,0.04232804232804233,0.11029245394558573,0.35262049627362807,55.9934857251031
87.89473684210526,4.315789473684211,1.0,316.8235822201516,3.3344152963884954,37.89955268498041,0.006336533282641068,0.0974269714307174,0.04232804232804233,0.10376350471335846,0.34609154704140077,55.419625450481014
87.89473684210526,5.078947368421053,1.0,372.84726444200766,3.5203905233926363,40.01337993426718,0.006336533282641068,0.092280098375653,0.04232804232804233,0.09861663165829407,0.34094467398633643,54.96724239774641
87.89473684210526,5.842105263157895,1.0,428.8709466638637,3.6885533136521462,41.92474788414329,0.006336533282641068,0.08807300754390711,0.04232804232804233,0.09440954082654818,0.3367375831545905,54.59746125621927
87.89473684210526,6.605263157894737,1.0,484.8946288857198,3.8426395413078906,43.67611913936571,0.006336533282641068,0.08454136286455277,0.04232804232804233,0.09087789614719384,0.33320593847523616,54.2870482765076
87.89473684210526,7.36842105263158,1.0,540.9183111075758,3.9852700066360702,45.297282178367915,0.006336533282641068,0.08151567730127325,0.04232804232804233,0.08785221058391432,0.33018025291195663,54.02110644015619
87.89473684210526,8.131578947368421,1.0,596.9419933294319,4.118362461695335,46.81003450947535,0.006336533282641068,0.07888134831280944,0.04232804232804233,0.0852178815954505,0.32754592392349285,53.789562786959635
87.89473684210526,8.894736842105264,1.0,652.965675551288,4.243367446588803,48.23086322747773,0.006336533282641068,0.07655758967575199,0.04232804232804233,0.08289412295839306,0.3252221652864354,53.5853166330709
87.89473684210526,9.657894736842106,1.0,708.9893577731441,4.361411807409656,49.572576263925335,0.006336533282641068,0.0744855102348916,0.04232804232804233,0.08082204351753267,0.32315008584557503,53.40319175590054
87.89473684210526,10.421052631578949,1.0,765.0130399950001,4.473390408254677,50.84534480205941,0.006336533282641068,0.07262097741791691,0.04232804232804233,0.07895751070055798,0.3212855530286003,53.23930913461908
87.89473684210526,11.18421052631579,1.0,821.0367222168561,4.580027126575526,52.05739656073859,0.006336533282641068,0.0709301440453012,0.04232804232804233,0.07726667732794226,0.3195947196559846,53.09069378028917
87.89473684210526,11.947368421052632,1.0,877.0604044387122,4.681916793383531,53.2154924942078,0.006336533282641068,0.06938653507864191,0.04232804232804233,0.07572306836128298,0.31805111068932534,52.95501867637754
87.89473684210526,12.710526315789474,1.0,933.0840866605682,4.779554856210397,54.32526394654434,0.006336533282641068,0.0679690878319503,0.04232804232804233,0.07430562111459137,0.3166336634426337,52.83043252364202
87.89473684210526,13.473684210526317,1.0,989.1077688824244,4.873358872882408,55.39145695368842,0.006336533282641068,0.06666079644309991,0.04232804232804233,0.07299732972574098,0.3153253720537833,52.715440596306216
87.89473684210526,14.23684210526316,1.0,1045.1314511042806,4.9636844166497935,56.41811302395037,0.006336533282641068,0.06544775141822019,0.04232804232804233,0.07178428470086126,0.31411232702890357,52.60882032306679
87.89473684210526,15.0,1.0,1101.1551333261364,5.0508370645595715,57.40870539997194,0.006336533282641068,0.06431844457998107,0.04232804232804233,0.07065497786262213,0.3129830201906645,52.509560195705774
